Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,CQI,LTERSSI,ARFCN,DL+AF8-bitrate,UL+AF8-bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test+AF8-Status,DataConnection+AF8-Type,DataConnection+AF8-Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION+AF8-NAME,VERSION+AF8-CODE,DEVICE,BAND,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,geometry
2019+AC0-12+AC0-05 09:02:38,+AC0-76.49217,44.232139000000004,39,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,11,+AC0-,+AC0-67,3348,0,0,9,71,71,4,G,D,163.0,163.0,163.0,0.0,0.0,,,,,PING,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,PING TEST,,,,8,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49217 44.232139)
2019+AC0-12+AC0-05 09:02:39,+AC0-76.49231,44.232146,38,TELUS,302220,3022205600900091,,540104,91,56009,4G,LTE,+AC0-99,+AC0-13,6.8,+AC0-,+AC0-68,3348,7371,8475,9,71,71,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,8,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-101,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-103,+AC0-19,,,4G,,,,188.0,3348.0,+AC0-103,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49231 44.232146)
2019+AC0-12+AC0-05 09:02:40,+AC0-76.49244,44.232157,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-101,+AC0-17,6.8,+AC0-,+AC0-68,3348,7371,8475,9,72,72,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,9,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-100,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-104,+AC0-19,,,4G,,,,66.0,3348.0,+AC0-106,+AC0-18,,,4G,,,,308.0,3348.0,+AC0-110,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49244 44.232157)
2019+AC0-12+AC0-05 09:02:41,+AC0-76.49257,44.232165,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-101,+AC0-17,6.8,+AC0-,+AC0-68,3348,47630,132,9,73,73,4,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,1.0,,,,,10,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,17.0,3348.0,+AC0-100,+AC0-16,,,4G,,,,54.0,3348.0,+AC0-104,+AC0-19,,,4G,,,,66.0,3348.0,+AC0-106,+AC0-18,,,4G,,,,308.0,3348.0,+AC0-110,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49257 44.232165)
2019+AC0-12+AC0-05 09:02:42,+AC0-76.49268,44.232243,37,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-90,+AC0-12,5.6,+AC0-,+AC0-69,3348,24827,8626,9,75,75,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,11,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,308.0,3348.0,+AC0-92,+AC0-20,,,4G,,,,17.0,3348.0,+AC0-96,+AC0-19,,,4G,,,,54.0,3348.0,+AC0-97,+AC0-20,,,4G,,,,131.0,3348.0,+AC0-97,+AC0-20,,,4G,,,,85.0,3348.0,+AC0-101,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49268000000001 44.232243)
2019+AC0-12+AC0-05 09:02:43,+AC0-76.49282,44.232258,38,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-90,+AC0-12,5.6,+AC0-,+AC0-69,3348,62079,176,9,75,75,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,12,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,308.0,3348.0,+AC0-92,+AC0-20,,,4G,,,,17.0,3348.0,+AC0-96,+AC0-19,,,4G,,,,54.0,3348.0,+AC0-97,+AC0-20,,,4G,,,,131.0,3348.0,+AC0-97,+AC0-20,,,4G,,,,85.0,3348.0,+AC0-101,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49281999999999 44.232258)
2019+AC0-12+AC0-05 09:02:44,+AC0-76.49296,44.232271999999995,40,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-87,+AC0-12,4.8,+AC0-,+AC0-65,3348,32997,8536,9,75,75,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,13,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,131.0,3348.0,+AC0-92,+AC0-14,,,4G,,,,17.0,3348.0,+AC0-94,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-96,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49296 44.23227199999999)
2019+AC0-12+AC0-05 09:02:45,+AC0-76.4931,44.232287,41,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-87,+AC0-12,3.8,+AC0-,+AC0-63,3348,84510,189,9,75,75,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,,,,,14,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,131.0,3348.0,+AC0-92,+AC0-14,,,4G,,,,17.0,3348.0,+AC0-94,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-96,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4931 44.232287)
2019+AC0-12+AC0-05 09:02:45,+AC0-76.4931,44.232287,41,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-87,+AC0-12,3.8,+AC0-,+AC0-63,3348,84510,189,9,75,75,4,G,D,,,,,,53428.0,4384.0,56248.0,4403.0,,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,UL/DL TEST,,,,14,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,131.0,3348.0,+AC0-92,+AC0-14,,,4G,,,,17.0,3348.0,+AC0-94,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-96,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4931 44.232287)
2019+AC0-12+AC0-05 09:02:45,+AC0-76.4931,44.232287,41,TELUS,302610,3026105600900091,,540104,91,56009,4G,LTE,+AC0-87,+AC0-12,3.8,+AC0-,+AC0-63,3348,84510,189,9,75,75,4,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.117.151.29,2.0,DATA TEST SEQUENCE,,,,14,5B,83DC8,DAC9,138266715,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L7,,,,4G,,,,131.0,3348.0,+AC0-92,+AC0-14,,,4G,,,,17.0,3348.0,+AC0-94,+AC0-18,,,4G,,,,54.0,3348.0,+AC0-96,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4931 44.232287)
